component,explained_variance_ratio,cumulative
PC1,0.27810238580487595,0.27810238580487595
PC2,0.10048215802575852,0.37858454383063445
PC3,0.08176072205531613,0.4603452658859506
PC4,0.06707957457895859,0.5274248404649092
PC5,0.05672932181818677,0.584154162283096
PC6,0.05315590096111847,0.6373100632442145
PC7,0.042657909817001384,0.6799679730612158
PC8,0.03901400041258685,0.7189819734738027
PC9,0.030481996848612133,0.7494639703224147
PC10,0.025754870663681866,0.7752188409860966
