emotion,cca_weight,abs_weight
active,-0.7516854930906935,0.7516854930906935
attentive,-0.42473522886087484,0.42473522886087484
determined,0.3838702959464959,0.3838702959464959
alert,-0.31495367801130875,0.31495367801130875
inspired,0.08953592261540415,0.08953592261540415
